direction,source_combo,target_dataset,method,threshold_type,threshold_value,eligible,train_samples,val_samples,test_samples,f1,precision,recall,fpr,roc_auc,pr_auc,best_single_source_same_method,best_single_f1_same_method,best_single_recall_same_method,best_single_fpr_same_method,delta_f1_vs_best_single,delta_recall_vs_best_single,delta_fpr_vs_best_single,improvement_type,notes
CIC+IoT->UNSW,CIC+IoT,UNSW-NB15,lr,default,0.5,True,361391,361391,122175,0.1435,0.1104,0.205,0.0991,0.6436,0.1076,CIC->UNSW,0.1429,0.1998,0.0958,0.0006,0.0052,0.0033,no_material_change,nan
CIC+IoT->UNSW,CIC+IoT,UNSW-NB15,lr,val_tuned,0.703,True,361391,361391,122175,0.0722,0.0614,0.0876,0.0803,0.6436,0.1076,IOT->UNSW,0.0397,0.2081,0.5572,0.0325,-0.1205,-0.4769,clear_multisource_gain,IOT val_tuned applied to UNSW
CIC+IoT->UNSW,CIC+IoT,UNSW-NB15,lr,fixed_fpr,0.708,True,361391,361391,122175,0.0708,0.0604,0.0855,0.0798,0.6436,0.1076,CIC->UNSW,0.0641,0.0753,0.0764,0.0067,0.0102,0.0034,no_material_change,CIC fixed_fpr applied to UNSW
CIC+IoT->UNSW,CIC+IoT,UNSW-NB15,xgb,default,0.5,True,361391,361391,122175,0.0,0.0,0.0,0.0,0.2751,0.0428,IOT->UNSW,0.0438,0.2072,0.495,-0.0438,-0.2072,-0.495,worse_than_best_single,nan
CIC+IoT->UNSW,CIC+IoT,UNSW-NB15,xgb,val_tuned,0.992,True,361391,361391,122175,0.0,0.0,0.0,0.0,0.2751,0.0428,CIC->UNSW,0.0549,0.0525,0.0516,-0.0549,-0.0525,-0.0516,worse_than_best_single,CIC val_tuned applied to UNSW
CIC+IoT->UNSW,CIC+IoT,UNSW-NB15,xgb,fixed_fpr,0.0001,True,361391,361391,122175,0.035,0.0241,0.0642,0.1562,0.2751,0.0428,CIC->UNSW,0.0571,0.0561,0.0546,-0.0221,0.0081,0.1016,no_material_change,CIC fixed_fpr applied to UNSW
CIC+IoT->UNSW,CIC+IoT,UNSW-NB15,lstm,default,0.5,True,361391,361391,122175,0.0,0.0,0.0,0.0,0.6217,0.0925,IOT->UNSW,0.1394,0.1079,0.0264,-0.1394,-0.1079,-0.0264,worse_than_best_single,nan
CIC+IoT->UNSW,CIC+IoT,UNSW-NB15,lstm,val_tuned,0.963,True,361391,361391,122175,0.0,0.0,0.0,0.0,0.6217,0.0925,IOT->UNSW,0.1177,0.0896,0.026,-0.1177,-0.0896,-0.026,worse_than_best_single,IOT val_tuned applied to UNSW
CIC+IoT->UNSW,CIC+IoT,UNSW-NB15,lstm,fixed_fpr,0.2441,True,361391,361391,122175,0.0,0.0,0.0,0.0,0.6217,0.0925,CIC->UNSW,0.0582,0.0348,0.0097,-0.0582,-0.0348,-0.0097,worse_than_best_single,CIC fixed_fpr applied to UNSW
CIC+UNSW->IoT,CIC+UNSW,IoT-23,lr,default,0.5,True,415293,415293,12865,0.8514,0.9627,0.7632,0.0393,0.9528,0.9603,CIC->IOT,0.8921,0.8153,0.0167,-0.0407,-0.0521,0.0226,worse_than_best_single,nan
CIC+UNSW->IoT,CIC+UNSW,IoT-23,lr,val_tuned,0.587,True,415293,415293,12865,0.8316,0.9836,0.7202,0.016,0.9528,0.9603,UNSW->IOT,0.8643,0.8575,0.1689,-0.0327,-0.1373,-0.1529,worse_than_best_single,nan
CIC+UNSW->IoT,CIC+UNSW,IoT-23,lr,fixed_fpr,0.9997,True,415293,415293,12865,0.0014,0.5556,0.0007,0.0007,0.9528,0.9603,CIC->IOT,0.825,0.7062,0.0076,-0.8236,-0.7055,-0.0069,blocked_or_not_applicable,fixed_fpr degenerate (thr=0.9997); val FPR budget not achievable below thr=0.99
CIC+UNSW->IoT,CIC+UNSW,IoT-23,xgb,default,0.5,True,415293,415293,12865,0.0011,0.5,0.0005,0.0007,0.8175,0.8768,UNSW->IOT,0.8081,0.84,0.3183,-0.807,-0.8395,-0.3176,worse_than_best_single,nan
CIC+UNSW->IoT,CIC+UNSW,IoT-23,xgb,val_tuned,0.852,True,415293,415293,12865,0.0005,0.6667,0.0003,0.0002,0.8175,0.8768,UNSW->IOT,0.8153,0.7489,0.1176,-0.8148,-0.7486,-0.1174,worse_than_best_single,nan
CIC+UNSW->IoT,CIC+UNSW,IoT-23,xgb,fixed_fpr,0.528,True,415293,415293,12865,0.0011,0.5,0.0005,0.0007,0.8175,0.8768,CIC->IOT,0.1346,0.0725,0.0065,-0.1335,-0.072,-0.0058,worse_than_best_single,CIC fixed_fpr applied to IoT
CIC+UNSW->IoT,CIC+UNSW,IoT-23,lstm,default,0.5,True,415293,415293,12865,0.1244,0.9839,0.0664,0.0015,0.7516,0.7434,UNSW->IOT,0.7074,0.9249,0.9192,-0.583,-0.8585,-0.9177,worse_than_best_single,nan
CIC+UNSW->IoT,CIC+UNSW,IoT-23,lstm,val_tuned,0.9,True,415293,415293,12865,0.0303,0.9912,0.0154,0.0002,0.7516,0.7434,UNSW->IOT,0.4586,0.4581,0.7185,-0.4283,-0.4427,-0.7183,worse_than_best_single,nan
CIC+UNSW->IoT,CIC+UNSW,IoT-23,lstm,fixed_fpr,0.3973,True,415293,415293,12865,0.1285,0.9844,0.0687,0.0015,0.7516,0.7434,CIC->IOT,0.0775,0.0406,0.0082,0.051,0.0281,-0.0067,clear_multisource_gain,CIC fixed_fpr applied to IoT
IoT+UNSW->CIC,IoT+UNSW,CIC-IDS2017,lr,default,0.5,True,62008,62008,491455,0.7666,0.7299,0.8071,0.2004,0.7188,0.5901,UNSW->CIC,0.7313,0.8031,0.264,0.0353,0.004,-0.0636,clear_multisource_gain,nan
IoT+UNSW->CIC,IoT+UNSW,CIC-IDS2017,lr,val_tuned,0.756,True,62008,62008,491455,0.8027,0.8037,0.8017,0.1314,0.7188,0.5901,UNSW->CIC,0.7403,0.7819,0.2218,0.0624,0.0198,-0.0904,clear_multisource_gain,UNSW val_tuned applied to CIC
IoT+UNSW->CIC,IoT+UNSW,CIC-IDS2017,lr,fixed_fpr,0.9505,True,62008,62008,491455,0.0072,0.0492,0.0039,0.0506,0.7188,0.5901,IOT->CIC,0.0019,0.001,0.0131,0.0053,0.0029,0.0375,no_material_change,baseline_degenerate: degenerate threshold
IoT+UNSW->CIC,IoT+UNSW,CIC-IDS2017,xgb,default,0.5,True,62008,62008,491455,0.2445,0.3441,0.1896,0.2425,0.2938,0.3619,UNSW->CIC,0.2038,0.1925,0.4674,0.0407,-0.0029,-0.2249,clear_multisource_gain,nan
IoT+UNSW->CIC,IoT+UNSW,CIC-IDS2017,xgb,val_tuned,0.818,True,62008,62008,491455,0.2466,0.4034,0.1776,0.1763,0.2938,0.3619,UNSW->CIC,0.1635,0.1385,0.3727,0.0831,0.0391,-0.1964,clear_multisource_gain,UNSW val_tuned applied to CIC
IoT+UNSW->CIC,IoT+UNSW,CIC-IDS2017,xgb,fixed_fpr,0.9964,True,62008,62008,491455,0.0,0.0,0.0,0.0331,0.2938,0.3619,IOT->CIC,0.0,0.0,0.0,0.0,0.0,0.0331,blocked_or_not_applicable,fixed_fpr degenerate (thr=0.9964)
IoT+UNSW->CIC,IoT+UNSW,CIC-IDS2017,lstm,default,0.5,True,62008,62008,491455,0.1025,0.1682,0.0737,0.2448,0.5442,0.3964,UNSW->CIC,0.6307,0.8022,0.4979,-0.5282,-0.7285,-0.2531,worse_than_best_single,nan
IoT+UNSW->CIC,IoT+UNSW,CIC-IDS2017,lstm,val_tuned,0.794,True,62008,62008,491455,0.0927,0.1576,0.0657,0.2356,0.5442,0.3964,UNSW->CIC,0.7197,0.7997,0.2837,-0.627,-0.734,-0.0481,worse_than_best_single,UNSW val_tuned applied to CIC
IoT+UNSW->CIC,IoT+UNSW,CIC-IDS2017,lstm,fixed_fpr,0.9775,True,62008,62008,491455,0.0225,0.0596,0.0138,0.1465,0.5442,0.3964,IOT->CIC,0.0,0.0,0.0149,0.0225,0.0138,0.1316,no_material_change,nan
